Regione;Età;Totale Maschi;Totale Femmine
Emilia-Romagna;37;25814;26007
Emilia-Romagna;38;26610;26719
Emilia-Romagna;39;26934;26868
Emilia-Romagna;40;27951;27745
Emilia-Romagna;41;28843;29271
Emilia-Romagna;42;30807;30978
Emilia-Romagna;43;32003;32306
Emilia-Romagna;44;33616;33836
Emilia-Romagna;45;35312;35607
Emilia-Romagna;46;37065;36824
Emilia-Romagna;47;36909;36964
Emilia-Romagna;48;37109;37099
Emilia-Romagna;49;37315;37305
Emilia-Romagna;50;36507;36993
Emilia-Romagna;51;36863;37396
Emilia-Romagna;52;36786;37028
Emilia-Romagna;53;36091;36514
Emilia-Romagna;54;36487;36802
Emilia-Romagna;55;35808;36476
Emilia-Romagna;56;36185;37158
Emilia-Romagna;57;33718;34875
Emilia-Romagna;58;32201;33958
Emilia-Romagna;59;31345;33284
Emilia-Romagna;60;30149;32367
Emilia-Romagna;61;29453;31608
Emilia-Romagna;62;27925;30089
Emilia-Romagna;63;27591;29933
Emilia-Romagna;64;27004;29420
Emilia-Romagna;65;25798;28225
Emilia-Romagna;66;24618;27767
Emilia-Romagna;67;23584;26483
Emilia-Romagna;68;22825;26255
Emilia-Romagna;69;22618;25609
Emilia-Romagna;70;23394;26939
Emilia-Romagna;71;23600;27061
Emilia-Romagna;72;24815;28373
Emilia-Romagna;73;24789;27780
Emilia-Romagna;74;24434;28352
Emilia-Romagna;75;16819;20071
Emilia-Romagna;76;18612;22118
Emilia-Romagna;77;18086;21851
Emilia-Romagna;78;17229;21395
Emilia-Romagna;79;17233;21554
Emilia-Romagna;80;17910;23513
Emilia-Romagna;81;17115;22738
Emilia-Romagna;82;16319;22113
Emilia-Romagna;83;14108;19261
Emilia-Romagna;84;11895;17297
Emilia-Romagna;85;11712;17435
Emilia-Romagna;86;10342;16358
Emilia-Romagna;87;8694;14301
Emilia-Romagna;88;7225;12572
Emilia-Romagna;89;6400;11720
Emilia-Romagna;90;5287;10823
Emilia-Romagna;91;4117;8693
Emilia-Romagna;92;3227;7541
Emilia-Romagna;93;2418;6380
Emilia-Romagna;94;1795;5006
Emilia-Romagna;95;1230;4071
Emilia-Romagna;96;930;3050
Emilia-Romagna;97;570;2325
Emilia-Romagna;98;398;1592
Emilia-Romagna;99;263;1108
Emilia-Romagna;100;282;1405
Emilia-Romagna;Totale;2165612;2279937
Toscana;0;11620;10864
Toscana;1;11830;11452
Toscana;2;12554;12178
Toscana;3;13464;12694
Toscana;4;13873;13201
Toscana;5;14386;13329
Toscana;6;14961;14201
Toscana;7;15209;14275
Toscana;8;15959;15332
Toscana;9;16240;15431
Toscana;10;16832;15927
Toscana;11;16912;15990
Toscana;12;17616;16283
Toscana;13;17470;16144
Toscana;14;17177;16140
Toscana;15;17175;16058
Toscana;16;17164;16045
Toscana;17;16802;15628
Toscana;18;16976;15747
Toscana;19;16991;15881
Toscana;20;17434;15935
Toscana;21;17335;15459
Toscana;22;17769;15707
Toscana;23;17570;15794
Toscana;24;17403;15940
Toscana;25;17278;15913
Toscana;26;17186;16220
Toscana;27;17588;16424
Toscana;28;18363;17559
Toscana;29;18297;17519
Toscana;30;19233;18267
Toscana;31;18807;18334
Toscana;32;19496;19119
Toscana;33;18866;18737
Toscana;34;18618;19142
Toscana;35;19542;20003
Toscana;36;19980;20162
Toscana;37;20504;20814
Toscana;38;21182;21302
Toscana;39;21398;21692
Toscana;40;22124;22268
Toscana;41;22978;23501
Toscana;42;24374;24944
Toscana;43;25257;25920
Toscana;44;26284;27315
Toscana;45;27793;28683
Toscana;46;29122;30094
Toscana;47;29100;30274
Toscana;48;29623;30280
Toscana;49;29661;30647
Toscana;50;29441;29749
Toscana;51;29877;30910
Toscana;52;29227;30656
Toscana;53;29335;30926
Toscana;54;30027;31066
Toscana;55;29852;31100
Toscana;56;30026;31498
Toscana;57;27952;29387
Toscana;58;26870;28396
Toscana;59;26027;28055
Toscana;60;25481;26986
Toscana;61;24766;26336
Toscana;62;23320;25779
Toscana;63;22853;25053
Toscana;64;22428;24723
Toscana;65;21769;24364
Toscana;66;21415;24111
Toscana;67;20466;22584
Toscana;68;20096;22525
Toscana;69;20044;22171
Toscana;70;20518;22935
Toscana;71;21112;24031
Toscana;72;22359;25473
Toscana;73;21893;25535
Toscana;74;21843;25497
Toscana;75;16605;19753
Toscana;76;16278;19541
Toscana;77;15975;19601
Toscana;78;14860;18660
Toscana;79;14802;19204
Toscana;80;15991;21316
Toscana;81;15126;19952
Toscana;82;14544;19716
Toscana;83;12250;17550
Toscana;84;10595;15436
Toscana;85;10130;15248
Toscana;86;8592;13524
Toscana;87;7467;12355
Toscana;88;6317;11287
Toscana;89;5493;10261
Toscana;90;4679;9646
Toscana;91;3575;7801
Toscana;92;2767;6702
Toscana;93;2160;5433
Toscana;94;1581;4258
Toscana;95;1016;3385
Toscana;96;776;2592
Toscana;97;517;1850
Toscana;98;315;1338
Toscana;99;213;919
Toscana;100;218;1176
Toscana;Totale;1773215;1895118
Umbria;0;2728;2551
Umbria;1;2783;2732
Umbria;2;2951;2736
Umbria;3;3081;2928
Umbria;4;3268;3115
Umbria;5;3295;3141
Umbria;6;3508;3339
Umbria;7;3696;3450
Umbria;8;3750;3716
Umbria;9;3849;3700
Umbria;10;4013;3741
Umbria;11;3990;3719
Umbria;12;4137;4012
Umbria;13;4187;3929
Umbria;14;4149;3860
Umbria;15;4111;3841
Umbria;16;3977;3796
Umbria;17;4033;3639
Umbria;18;3913;3780
Umbria;19;3964;3671
Umbria;20;4003;3854
Umbria;21;4247;3656
Umbria;22;4253;3714
Umbria;23;4200;3748
Umbria;24;4216;3810
Umbria;25;4153;3800
Umbria;26;4126;3919
Umbria;27;4265;4014
Umbria;28;4482;4190
Umbria;29;4408;4120
Umbria;30;4453;4337
Umbria;31;4529;4413
Umbria;32;4697;4653
Umbria;33;4578;4465
Umbria;34;4578;4637
Umbria;35;4685;4837
Umbria;36;4767;4862
Umbria;37;5150;5158
Umbria;38;5157;5077
Umbria;39;5240;5292
Umbria;40;5308;5292
Umbria;41;5453;5558
Umbria;42;5652;5922
Umbria;43;5982;6094
Umbria;44;6164;6251
Umbria;45;6331;6668
Umbria;46;6642;6986
Umbria;47;6689;6868
Umbria;48;6507;6875
Umbria;49;6615;7002
Umbria;50;6586;6775
Umbria;51;6711;7117
Umbria;52;6618;7145
Umbria;53;6550;7043
Umbria;54;6619;6968
Umbria;55;6893;7225
Umbria;56;6891;7258
Umbria;57;6301;6959
Umbria;58;6193;6711
Umbria;59;6243;6600
Umbria;60;6030;6574
Umbria;61;5804;6301
Umbria;62;5502;5945
Umbria;63;5334;5860
Umbria;64;5437;5937
Umbria;65;5277;5796
Umbria;66;5084;5726
Umbria;67;5043;5547
Umbria;68;4686;5308
Umbria;69;4937;5522
Umbria;70;5023;5544
Umbria;71;5138;5702
Umbria;72;5475;6060
Umbria;73;4980;5600
Umbria;74;4705;5392
Umbria;75;3699;4343
Umbria;76;3798;4681
Umbria;77;4048;4720
Umbria;78;3635;4326
Umbria;79;3559;4369
Umbria;80;3861;4778
Umbria;81;3534;4755
Umbria;82;3525;4686
Umbria;83;2840;4211
Umbria;84;2475;3749
Umbria;85;2353;3645
Umbria;86;2138;3397
Umbria;87;1924;3055
Umbria;88;1587;2655
Umbria;89;1397;2623
Umbria;90;1102;2412
Umbria;91;784;1921
Umbria;92;647;1659
Umbria;93;513;1433
Umbria;94;386;1079
Umbria;95;271;925
Umbria;96;213;632
Umbria;97;134;453
Umbria;98;91;313
Umbria;99;65;223
Umbria;100;46;289
Umbria;Totale;417598;447415
Marche;0;4908;4589
Marche;1;5012;4602
Marche;2;5216;4917
Marche;3;5507;5221
Marche;4;5921;5505
Marche;5;6020;5812
Marche;6;6275;5902
Marche;7;6505;5951
Marche;8;6602;6234
Marche;9;6838;6632
Marche;10;7043;6575
Marche;11;7226;6789
Marche;12;7275;6800
Marche;13;7154;6720
Marche;14;7054;6664
Marche;15;7012;6642
Marche;16;7127;6560
Marche;17;6973;6629
Marche;18;7154;6606
Marche;19;7102;6636
Marche;20;7556;6747
Marche;21;7492;6819
Marche;22;7795;6823
Marche;23;7613;6895
Marche;24;7523;6821
Marche;25;7581;6899
Marche;26;7509;6881
Marche;27;7499;7127
Marche;28;7900;7383
Marche;29;7850;7284
Marche;30;7960;7621
Marche;31;7840;7624
Marche;32;7890;7855
Marche;33;7826;7567
Marche;34;8068;7863
Marche;35;8035;8207
Marche;36;8213;8213
Marche;37;8405;8543
Marche;38;8861;8868
Marche;39;8953;8912
Marche;40;9340;9262
Marche;41;9581;9790
Marche;42;10327;10321
Marche;43;10506;10725
Marche;44;10962;10883
Marche;45;11375;11616
Marche;46;11730;11713
Marche;47;11468;11706
Marche;48;11672;11727
Marche;49;11925;12222
Marche;50;11645;11781
Marche;51;11838;12446
Marche;52;11787;12128
Marche;53;11767;12251
Marche;54;11870;12277
Marche;55;11910;12117
Marche;56;12215;12510
Marche;57;11406;11961
Marche;58;11045;11155
Marche;59;11068;11422
Marche;60;10523;11131
Marche;61;10108;10970
Marche;62;9832;10567
Marche;63;9526;10399
Marche;64;9502;10528
Marche;65;9104;10101
Marche;66;8902;9634
Marche;67;8552;9410
Marche;68;8595;9260
Marche;69;8595;9460
Marche;70;8748;9541
Marche;71;8323;9237
Marche;72;8469;9536
Marche;73;8161;9095
Marche;74;7950;9234
Marche;75;6558;7506
Marche;76;6178;7333
Marche;77;6422;7628
Marche;78;5876;7256
Marche;79;5649;7300
Marche;80;6273;8202
Marche;81;6225;8199
Marche;82;5922;8166
Marche;83;5161;7037
Marche;84;4336;6479
Marche;85;4185;6430
Marche;86;3661;5724
Marche;87;3112;5260
Marche;88;2514;4513
Marche;89;2333;4421
Marche;90;1915;3898
Marche;91;1490;3055
Marche;92;1166;2637
Marche;93;925;2287
Marche;94;647;1882
Marche;95;510;1449
Marche;96;285;1032
Marche;97;230;741
Marche;98;149;530
Marche;99;90;386
Marche;100;104;465
Marche;Totale;730536;770870
Lazio;0;19509;18672
Lazio;1;19792;18500
Lazio;2;21760;20606
Lazio;3;22887;21420
Lazio;4;23939;22625
Lazio;5;24359;23432
Lazio;6;25595;23889
Lazio;7;25939;24491
Lazio;8;27325;25970
Lazio;9;27366;25843
Lazio;10;28078;26462
Lazio;11;28343;26431
Lazio;12;28180;27024
Lazio;13;28655;26788
Lazio;14;28289;26664
Lazio;15;27483;25826
Lazio;16;27743;26006
Lazio;17;27352;25910
Lazio;18;27076;25331
Lazio;19;27379;25515
Lazio;20;28159;25859
Lazio;21;27981;25471
Lazio;22;28734;25747
Lazio;23;28558;25885
Lazio;24;28893;26121
Lazio;25;29176;26381
Lazio;26;29105;26895
Lazio;27;29235;27695
Lazio;28;30709;28983
Lazio;29;30265;29003
Lazio;30;31174;29932
Lazio;31;31153;30270
Lazio;32;32066;31547
Lazio;33;31568;31660
Lazio;34;31950;31659
Lazio;35;33269;33339
Lazio;36;34635;34247
Lazio;37;35326;35011
Lazio;38;36337;36660
Lazio;39;36415;37423
Lazio;40;37229;38028
Lazio;41;38306;39399
Lazio;42;40303;41683
Lazio;43;41086;42439
Lazio;44;42518;44627
Lazio;45;44719;46892
Lazio;46;46141;49086
Lazio;47;46264;48973
Lazio;48;46558;49564
Lazio;49;46461;49630
Lazio;50;46629;49373
Lazio;51;46951;50352
Lazio;52;46268;49889
Lazio;53;46106;50111
Lazio;54;46896;49712
Lazio;55;46717;49675
Lazio;56;47155;50699
Lazio;57;43952;47560
Lazio;58;41956;45476
Lazio;59;40666;44327
Lazio;60;38731;42572
Lazio;61;37282;41293
Lazio;62;35492;39582
Lazio;63;34727;38778
Lazio;64;33990;37713
Lazio;65;33128;37121
Lazio;66;32119;36506
Lazio;67;30195;34369
Lazio;68;29245;33370
Lazio;69;28546;32947
Lazio;70;29047;33655
Lazio;71;28813;33542
Lazio;72;29794;35383
Lazio;73;29372;34617
Lazio;74;27761;33853
Lazio;75;21209;26397
Lazio;76;20965;26151
Lazio;77;21157;27435
Lazio;78;20136;26231
Lazio;79;19811;26148
Lazio;80;20825;28417
Lazio;81;19488;26735
Lazio;82;17821;25250
Lazio;83;15520;22678
Lazio;84;13542;20555
Lazio;85;12701;19702
Lazio;86;10801;18062
Lazio;87;9213;15925
Lazio;88;7724;14124
Lazio;89;6739;12708
Lazio;90;5685;11905
Lazio;91;4222;9143
Lazio;92;3176;7627
Lazio;93;2406;6188
Lazio;94;1828;4981
Lazio;95;1248;3747
Lazio;96;932;2864
Lazio;97;664;2144
Lazio;98;437;1459
Lazio;99;250;1062
Lazio;100;349;1440
Lazio;Totale;2761729;2959067
Abruzzo;0;4252;4013
Abruzzo;1;4282;4119
Abruzzo;2;4507;4314
Abruzzo;3;4887;4544
Abruzzo;4;5150;4840
Abruzzo;5;5205;4853
Abruzzo;6;5321;5010
Abruzzo;7;5388;5068
Abruzzo;8;5625;5345
Abruzzo;9;5796;5315
Abruzzo;10;5887;5621
Abruzzo;11;5818;5450
Abruzzo;12;6009;5677
Abruzzo;13;5873;5639
Abruzzo;14;5885;5501
Abruzzo;15;5870;5661
Abruzzo;16;6031;5584
Abruzzo;17;6012;5560
Abruzzo;18;5946;5478
Abruzzo;19;6134;5708
Abruzzo;20;6416;5655
Abruzzo;21;6318;5746
Abruzzo;22;6462;5979
Abruzzo;23;6563;5860
Abruzzo;24;6505;6153
Abruzzo;25;6544;5967
Abruzzo;26;6669;6318
Abruzzo;27;6963;6429
Abruzzo;28;7187;6742
Abruzzo;29;7140;6714
Abruzzo;30;7203;6884
Abruzzo;31;7312;6801
Abruzzo;32;7310;7046
Abruzzo;33;7139;7001
Abruzzo;34;7350;7134
Abruzzo;35;7511;7384
Abruzzo;36;7751;7460
Abruzzo;37;7711;7474
Abruzzo;38;7953;7948
Abruzzo;39;7935;7869
Abruzzo;40;8245;7976
Abruzzo;41;8550;8326
Abruzzo;42;8927;8633
Abruzzo;43;8962;8738
Abruzzo;44;9254;9179
Abruzzo;45;9360;9631
Abruzzo;46;9946;9811
Abruzzo;47;9602;9892
Abruzzo;48;9931;10184
Abruzzo;49;10004;10483
Abruzzo;50;9863;10222
Abruzzo;51;10344;10607
Abruzzo;52;10271;10513
Abruzzo;53;10237;10696
Abruzzo;54;10368;10770
Abruzzo;55;10392;10784
Abruzzo;56;10556;10694
Abruzzo;57;9773;10243
Abruzzo;58;9385;9894
Abruzzo;59;9027;9865
Abruzzo;60;8935;9607
Abruzzo;61;8778;9505
Abruzzo;62;8484;9131
Abruzzo;63;8341;8996
Abruzzo;64;8357;8703
Abruzzo;65;8136;8880
Abruzzo;66;7940;8676
Abruzzo;67;7430;8141
Abruzzo;68;7364;8044
Abruzzo;69;7260;8170
Abruzzo;70;7532;8230
Abruzzo;71;7586;8407
Abruzzo;72;7508;8561
Abruzzo;73;7178;7945
Abruzzo;74;6895;7640
Abruzzo;75;4955;5843
Abruzzo;76;5350;6140
Abruzzo;77;4944;6005
Abruzzo;78;4735;5747
Abruzzo;79;4645;5690
Abruzzo;80;5082;6458
Abruzzo;81;4889;6442
Abruzzo;82;4317;5767
Abruzzo;83;4078;5592
Abruzzo;84;3530;5116
Abruzzo;85;3258;4939
Abruzzo;86;2762;4562
Abruzzo;87;2546;4344
Abruzzo;88;2094;3639
Abruzzo;89;1797;3414
Abruzzo;90;1615;3162
Abruzzo;91;1185;2476
Abruzzo;92;902;2077
Abruzzo;93;734;1779
Abruzzo;94;484;1345
Abruzzo;95;351;1029
Abruzzo;96;264;820
Abruzzo;97;166;607
Abruzzo;98;114;431
Abruzzo;99;93;280
Abruzzo;100;78;402
Abruzzo;Totale;627509;657747
Molise;0;916;803
Molise;1;971;898
Molise;2;935;913
Molise;3;1081;995
Molise;4;1023;986
Molise;5;1102;1016
Molise;6;1141;999
Molise;7;1115;1068
Molise;8;1172;1073
Molise;9;1163;1153
Molise;10;1286;1162
Molise;11;1181;1085
Molise;12;1307;1162
Molise;13;1275;1207
Molise;14;1259;1213
Molise;15;1327;1211
Molise;16;1363;1198
Molise;17;1353;1249
Molise;18;1353;1315
Molise;19;1411;1317
Molise;20;1459;1381
Molise;21;1563;1366
Molise;22;1681;1410
Molise;23;1646;1399
Molise;24;1580;1472
Molise;25;1606;1489
Molise;26;1710;1505
Molise;27;1718;1581
Molise;28;1757;1640
Molise;29;1767;1551
Molise;30;1718;1581
Molise;31;1701;1577
Molise;32;1756;1591
Molise;33;1806;1582
Molise;34;1725;1547
Molise;35;1736;1650
Molise;36;1746;1628
Molise;37;1813;1647
Molise;38;1813;1749
Molise;39;1857;1750
Molise;40;1787;1752
Molise;41;1912;1843
Molise;42;1945;1912
Molise;43;1978;1968
Molise;44;2125;1906
Molise;45;2191;2118
Molise;46;2261;2217
Molise;47;2123;2190
Molise;48;2186;2227
Molise;49;2186;2209
Molise;50;2195;2216
Molise;51;2274;2370
Molise;52;2287;2370
Molise;53;2329;2468
Molise;54;2364;2488
Molise;55;2392;2454
Molise;56;2518;2508
Molise;57;2355;2307
Molise;58;2229;2304
Molise;59;2273;2215
Molise;60;2264;2339
Molise;61;2137;2253
Molise;62;1972;2210
Molise;63;2033;2116
Molise;64;2073;2076
Molise;65;1999;2076
Molise;66;1956;2136
Molise;67;1829;1912
Molise;68;1856;1996
Molise;69;1719;1832
Molise;70;1855;1963
Molise;71;1943;2020
Molise;72;1851;1976
Molise;73;1728;1897
Molise;74;1631;1697
Molise;75;1210;1380
Molise;76;1154;1349
Molise;77;1048;1258
Molise;78;1041;1192
Molise;79;1056;1368
Molise;80;1153;1522
Molise;81;1168;1619
Molise;82;992;1307
Molise;83;939;1347
Molise;84;862;1349
Molise;85;792;1259
Molise;86;749;1208
Molise;87;646;1104
Molise;88;516;944
Molise;89;456;821
Molise;90;397;852
Molise;91;315;652
Molise;92;207;542
Molise;93;169;498
Molise;94;123;381
Molise;95;89;279
Molise;96;68;221
Molise;97;50;150
Molise;98;40;129
Molise;99;30;93
Molise;100;28;117
Molise;Totale;145946;150601
Campania;0;23079;21803
Campania;1;23426;22364
Campania;2;24319;22649
Campania;3;25189;24004
Campania;4;25380;23953
Campania;5;25693;24383
Campania;6;26267;24517
Campania;7;26473;25415
Campania;8;28054;26194
Campania;9;28577;26813
Campania;10;29570;27535
Campania;11;29976;28638
Campania;12;30338;29033
Campania;13;31054;29590
Campania;14;31540;29481
Campania;15;31654;29921
Campania;16;32853;30898
Campania;17;32890;31532
Campania;18;32842;31188
Campania;19;34015;31621
Campania;20;34683;32422
Campania;21;34944;32378
Campania;22;35158;32235
Campania;23;34951;32306
Campania;24;34977;32740
Campania;25;34370;33269
Campania;26;34849;33394
Campania;27;35134;34125
Campania;28;36388;35640
Campania;29;35904;35259
Campania;30;35555;34994
Campania;31;35205;34859
Campania;32;35550;35468
Campania;33;34854;33967
Campania;34;34302;33985
Campania;35;35394;34401
Campania;36;35274;35619
Campania;37;35656;35813
Campania;38;36812;36496
Campania;39;36002;36546
Campania;40;36807;36779
Campania;41;37258;37954
Campania;42;38216;39105
Campania;43;39039;39830
Campania;44;40372;41473
Campania;45;41899;42693
Campania;46;42920;44678
Campania;47;42076;44229
Campania;48;42240;44533
Campania;49;42216;45074
Campania;50;41526;44371
Campania;51;42792;45273
Campania;52;42553;45458
Campania;53;42921;46019
Campania;54;43291;46244
Campania;55;43219;46122
Campania;56;44065;47098
Campania;57;40971;44454
Campania;58;39813;43522
Campania;59;38854;42557
Campania;60;37030;40791
Campania;61;36654;39833
Campania;62;34519;37816
Campania;63;34042;37223
Campania;64;32168;35660
Campania;65;32756;35579
Campania;66;31887;35410
Campania;67;29302;32116
Campania;68;28218;31000
Campania;69;28171;30833
Campania;70;28134;31361
Campania;71;27703;31337
Campania;72;28050;31858
Campania;73;26545;30530
Campania;74;26315;30430
Campania;75;21031;24714
Campania;76;17360;21034
Campania;77;17974;22868
Campania;78;16678;21437
Campania;79;15248;20584
Campania;80;16238;22065
Campania;81;15016;21216
Campania;82;13068;19130
Campania;83;11811;17594
Campania;84;9857;15894
Campania;85;9282;15257
Campania;86;7789;13368
Campania;87;7045;12515
Campania;88;5925;10970
Campania;89;4820;9596
Campania;90;4046;8750
Campania;91;3029;6791
Campania;92;2306;5643
Campania;93;1657;4419
Campania;94;1242;3320
Campania;95;815;2604
Campania;96;596;1865
Campania;97;401;1363
Campania;98;277;923
Campania;99;163;676
Campania;100;240;865
Campania;Totale;2767607;2912152
Puglia;0;13700;12720
Puglia;1;13944;13143
Puglia;2;14724;13612
Puglia;3;15094;14502
Puglia;4;15739;14830
Puglia;5;15820;15091
Puglia;6;16788;15606
Puglia;7;16990;16024
Puglia;8;17731;16514
Puglia;9;18205;17140
Puglia;10;18768;17765
Puglia;11;19032;17893
Puglia;12;19321;18165
Puglia;13;19597;18318
Puglia;14;19506;18630
Puglia;15;20066;18775
Puglia;16;20493;19765
Puglia;17;20742;19853
Puglia;18;20862;19880
Puglia;19;21725;20273
Puglia;20;22237;20900
Puglia;21;22563;20482
Puglia;22;22475;20543
Puglia;23;22300;20539
Puglia;24;22254;20839
Puglia;25;22160;20736
Puglia;26;22180;20875
Puglia;27;22649;21410
Puglia;28;23445;22307
Puglia;29;22943;21850
Puglia;30;22934;21683
Puglia;31;22135;21947
Puglia;32;22948;22234
Puglia;33;22306;21938
Puglia;34;22268;21663
Puglia;35;22004;21991
Puglia;36;22550;22998
Puglia;37;22988;22946
Puglia;38;23445;24030
Puglia;39;23724;24519
Puglia;40;24662;24959
Puglia;41;26067;26242
Puglia;42;26954;27094
Puglia;43;28045;28264
Puglia;44;28949;29464
Puglia;45;29811;30238
Puglia;46;30137;31360
Puglia;47;29262;30390
Puglia;48;28982;29809
Puglia;49;29627;30580
Puglia;50;29346;30451
Puglia;51;29711;31618
Puglia;52;29836;31682
Puglia;53;30357;31914
Puglia;54;30530;32227
Puglia;55;30236;32471
Puglia;56;30816;32797
Puglia;57;28333;30645
Puglia;58;27611;29791
Puglia;59;27288;29521
Puglia;60;26562;28623
Puglia;61;25671;28118
Puglia;62;23985;26889
Puglia;63;24480;26977
Puglia;64;23659;26300
Puglia;65;23401;26044
Puglia;66;22782;25145
Puglia;67;21879;24282
Puglia;68;20868;23294
Puglia;69;21432;23946
Puglia;70;22017;24638
Puglia;71;21801;24360
Puglia;72;22646;25848
Puglia;73;21123;24115
Puglia;74;20258;23847
Puglia;75;17024;19762
Puglia;76;14919;17962
Puglia;77;14593;17724
Puglia;78;14490;17959
Puglia;79;13422;16768
Puglia;80;14030;17898
Puglia;81;13127;17551
Puglia;82;11854;16297
Puglia;83;10527;15116
Puglia;84;9120;13511
Puglia;85;8524;12922
Puglia;86;7530;11878
Puglia;87;6356;10640
Puglia;88;5421;9527
Puglia;89;4609;8388
Puglia;90;3991;7713
Puglia;91;2858;6013
Puglia;92;2271;5045
Puglia;93;1735;4149
Puglia;94;1170;3105
Puglia;95;873;2326
Puglia;96;629;1645
Puglia;97;419;1299
Puglia;98;287;871
Puglia;99;159;568
Puglia;100;199;806
Puglia;Totale;1910616;2016315
Basilicata;0;1820;1668
Basilicata;1;1905;1699
Basilicata;2;1837;1792
Basilicata;3;2041;1848
Basilicata;4;2040;1912
Basilicata;5;2034;1952
Basilicata;6;2052;1990
Basilicata;7;2096;1922
Basilicata;8;2313;2097
Basilicata;9;2251;2117
Basilicata;10;2317;2204
Basilicata;11;2454;2261
Basilicata;12;2528;2317
Basilicata;13;2502;2278
Basilicata;14;2576;2372
Basilicata;15;2531;2385
Basilicata;16;2621;2606
Basilicata;17;2770;2509
Basilicata;18;2839;2632
Basilicata;19;2926;2612
Basilicata;20;3070;2664
Basilicata;21;3007;2726
Basilicata;22;3072;2672
Basilicata;23;3040;2706
Basilicata;24;3074;2748
Basilicata;25;3088;2780
Basilicata;26;3096;2914
Basilicata;27;3203;2891
Basilicata;28;3397;3145
Basilicata;29;3242;3115
Basilicata;30;3443;3162
Basilicata;31;3351;3052
Basilicata;32;3279;3137
Basilicata;33;3304;3028
Basilicata;34;3197;2974
Basilicata;35;3372;3077
Basilicata;36;3396;3190
Basilicata;37;3287;3181
Basilicata;38;3272;3275
Basilicata;39;3334;3208
Basilicata;40;3367;3223
Basilicata;41;3439;3266
Basilicata;42;3718;3461
Basilicata;43;3621;3716
Basilicata;44;3977;3848
Basilicata;45;3920;4037
Basilicata;46;4117;4043
Basilicata;47;4017;3997
Basilicata;48;4018;4193
Basilicata;49;4067;4215
Basilicata;50;4092;4305
Basilicata;51;4310;4303
Basilicata;52;4287;4405
Basilicata;53;4410;4558
Basilicata;54;4194;4516
Basilicata;55;4354;4503
Basilicata;56;4491;4684
Basilicata;57;4271;4381
Basilicata;58;4337;4404
Basilicata;59;4129;4371
Basilicata;60;4002;4320
Basilicata;61;3863;4117
Basilicata;62;3786;3913
Basilicata;63;3517;4013
Basilicata;64;3713;3936
Basilicata;65;3642;3691
Basilicata;66;3545;3782
Basilicata;67;3314;3428
Basilicata;68;3158;3458
Basilicata;69;3086;3390
Basilicata;70;3270;3411
Basilicata;71;3277;3423
Basilicata;72;3240;3609
Basilicata;73;2864;3290
Basilicata;74;2615;2951
Basilicata;75;1928;2371
Basilicata;76;1947;2259
Basilicata;77;1887;2229
Basilicata;78;1753;2282
Basilicata;79;1703;2248
Basilicata;80;2033;2538
Basilicata;81;1993;2668
Basilicata;82;1832;2477
Basilicata;83;1726;2433
Basilicata;84;1542;2241
Basilicata;85;1358;2138
Basilicata;86;1280;2044
Basilicata;87;1076;1822
Basilicata;88;900;1545
Basilicata;89;794;1346
Basilicata;90;655;1303
Basilicata;91;525;1024
Basilicata;92;412;831
Basilicata;93;311;672
Basilicata;94;203;550
Basilicata;95;150;393
Basilicata;96;110;247
Basilicata;97;95;202
Basilicata;98;66;155
Basilicata;99;37;120
Basilicata;100;29;112
Basilicata;Totale;269350;278229
Calabria;0;7104;6838
Calabria;1;7197;6896
Calabria;2;7550;7137
Calabria;3;7820;7460
Calabria;4;7980;7565
Calabria;5;8130;7717
Calabria;6;8269;7726
Calabria;7;8171;7831
Calabria;8;8505;7911
Calabria;9;8595;8049
Calabria;10;8764;8434
Calabria;11;9039;8423
Calabria;12;8918;8735
Calabria;13;9174;8551
Calabria;14;9443;8798
Calabria;15;9338;8708
Calabria;16;9648;8979
Calabria;17;9638;9026
Calabria;18;9647;8900
Calabria;19;9943;9382
Calabria;20;10386;9564
Calabria;21;10450;9478
Calabria;22;10598;9727
Calabria;23;10346;9598
Calabria;24;10638;9738
Calabria;25;10598;10057
Calabria;26;10905;10203
Calabria;27;11259;10632
Calabria;28;11381;11105
Calabria;29;11395;10862
Calabria;30;11682;11135
Calabria;31;11818;11245
Calabria;32;11999;11586
Calabria;33;11682;11530
Calabria;34;11598;11335
Calabria;35;11680;11405
Calabria;36;12051;11370
Calabria;37;11811;11475
Calabria;38;11925;11841
Calabria;39;11951;11816
Calabria;40;12114;11935
Calabria;41;12308;12360
Calabria;42;12563;12430
Calabria;43;12542;12968
Calabria;44;13252;13494
Calabria;45;13219;13461
Calabria;46;13250;13740
Calabria;47;13286;13689
Calabria;48;13188;13972
Calabria;49;13307;14291
Calabria;50;13224;14123
Calabria;51;13832;15059
Calabria;52;13745;14696
Calabria;53;13875;14907
Calabria;54;13848;15031
Calabria;55;13792;14858
Calabria;56;14430;15449
Calabria;57;13539;14591
Calabria;58;13458;14603
Calabria;59;13311;14386
Calabria;60;13227;14199
Calabria;61;12897;13806
Calabria;62;11979;12857
Calabria;63;12463;13042
Calabria;64;11918;12670
Calabria;65;11848;12560
Calabria;66;11818;12416
Calabria;67;11089;11665
Calabria;68;10387;11053
Calabria;69;10455;11318
Calabria;70;10683;11455
Calabria;71;10579;11365
Calabria;72;10453;11582
Calabria;73;10102;11131
Calabria;74;9075;10212
